venue_name,city,country,venue_type,address,latitude,longitude,google_maps_url,capacity_min,capacity_max,event_types,past_events,upcoming_events,booking_available,booking_url,venue_operator,partnership_required,notes,sources
Grand Prairie Stadium,,Netherlands,stadium,,,,https://www.google.com/maps/search/?api=1&query=Grand+Prairie+Stadium%2C+Netherlands,5445,5445,"[""concerts"",""sports""]",[],[],,,,,,"[""https://en.wikipedia.org/wiki/Grand_Prairie_Stadium"",""https://www.wikidata.org/wiki/Q7271948"",""https://www.wikidata.org/wiki/Q7271948#P1083"",""https://nominatim.openstreetmap.org/search?format=jsonv2&q=Grand+Prairie+Stadium%2C+Netherlands&limit=1&addressdetails=1"",""https://www.eventbrite.com/d/netherlands/Grand+Prairie+Stadium++Netherlands"",""https://www.ticketmaster.com/search?q=Grand+Prairie+Stadium++Netherlands""]"
Hiram Bithorn Stadium,,Netherlands,stadium,,,,https://www.google.com/maps/search/?api=1&query=Hiram+Bithorn+Stadium%2C+Netherlands,18264,18264,"[""concerts"",""sports""]",[],[],,,,,,"[""https://en.wikipedia.org/wiki/Hiram_Bithorn_Stadium"",""https://www.wikidata.org/wiki/Q1369267"",""https://www.wikidata.org/wiki/Q1369267#P1083"",""https://nominatim.openstreetmap.org/search?format=jsonv2&q=Hiram+Bithorn+Stadium%2C+Netherlands&limit=1&addressdetails=1"",""https://www.eventbrite.com/d/netherlands/Hiram+Bithorn+Stadium++Netherlands"",""https://www.ticketmaster.com/search?q=Hiram+Bithorn+Stadium++Netherlands""]"
IJssportcentrum Tilburg,Tilburg,Netherlands,,"IJssportcentrum Tilburg, Achter de ijsbaan, Oud-Zuid, Tilburg, Noord-Brabant, Nederland, 5022 DZ, Nederland",51.5422539,5.074891,"https://www.google.com/maps?q=51.5422539,5.074891",,,[],[],[],,,,,,"[""https://en.wikipedia.org/wiki/IJssportcentrum_Tilburg"",""https://www.wikidata.org/wiki/Q15876579"",""https://nominatim.openstreetmap.org/search?format=jsonv2&q=IJssportcentrum+Tilburg%2C+Netherlands&limit=1&addressdetails=1"",""https://www.eventbrite.com/d/netherlands/IJssportcentrum+Tilburg+Tilburg+Netherlands"",""https://www.ticketmaster.com/search?q=IJssportcentrum+Tilburg+Tilburg+Netherlands""]"
Lusail Stadium,,Netherlands,stadium,,,,https://www.google.com/maps/search/?api=1&query=Lusail+Stadium%2C+Netherlands,88966,88966,"[""concerts"",""sports""]",[],[],,,,,,"[""https://en.wikipedia.org/wiki/Lusail_Stadium"",""https://www.wikidata.org/wiki/Q1186333"",""https://www.wikidata.org/wiki/Q1186333#P1083"",""https://nominatim.openstreetmap.org/search?format=jsonv2&q=Lusail+Stadium%2C+Netherlands&limit=1&addressdetails=1"",""https://www.eventbrite.com/d/netherlands/Lusail+Stadium++Netherlands"",""https://www.ticketmaster.com/search?q=Lusail+Stadium++Netherlands""]"
Music of the Netherlands,Den Haag,Netherlands,,"DUVO House of Music, Wolterbeekstraat, Stationsbuurt, Centrum, Den Haag, Zuid-Holland, Nederland, 2515 MV, Nederland",52.0699217,4.3178702,"https://www.google.com/maps?q=52.0699217,4.3178702",,,[],[],[],,,,,,"[""https://en.wikipedia.org/wiki/Music_of_the_Netherlands"",""https://www.wikidata.org/wiki/Q377185"",""https://nominatim.openstreetmap.org/search?format=jsonv2&q=Music+of+the+Netherlands%2C+Netherlands&limit=1&addressdetails=1"",""https://www.eventbrite.com/d/netherlands/Music+of+the+Netherlands+Den+Haag+Netherlands"",""https://www.ticketmaster.com/search?q=Music+of+the+Netherlands+Den+Haag+Netherlands""]"
"National Stadium, Karachi",,Netherlands,stadium,,,,https://www.google.com/maps/search/?api=1&query=National+Stadium%2C+Karachi%2C+Netherlands,,,"[""concerts"",""sports""]",[],[],true,http://content-usa.cricinfo.com/pakistan/content/ground/58956.html,,,,"[""https://en.wikipedia.org/wiki/National_Stadium,_Karachi"",""https://www.wikidata.org/wiki/Q3007369"",""https://nominatim.openstreetmap.org/search?format=jsonv2&q=National+Stadium%2C+Karachi%2C+Netherlands&limit=1&addressdetails=1"",""https://www.wikidata.org/wiki/Q3007369#P856"",""https://www.eventbrite.com/d/netherlands/National+Stadium%2C+Karachi++Netherlands"",""https://www.ticketmaster.com/search?q=National+Stadium%2C+Karachi++Netherlands""]"
NRCA Stadium,,Netherlands,,,,,https://www.google.com/maps/search/?api=1&query=NRCA+Stadium%2C+Netherlands,5000,5000,[],[],[],true,https://www.rugby.nl/page/nationaal-rugby-centrum-amsterdam,,,,"[""https://en.wikipedia.org/wiki/NRCA_Stadium"",""https://www.wikidata.org/wiki/Q209893"",""https://www.wikidata.org/wiki/Q209893#P1083"",""https://nominatim.openstreetmap.org/search?format=jsonv2&q=NRCA+Stadium%2C+Netherlands&limit=1&addressdetails=1"",""https://www.wikidata.org/wiki/Q209893#P856"",""https://www.eventbrite.com/d/netherlands/NRCA+Stadium++Netherlands"",""https://www.ticketmaster.com/search?q=NRCA+Stadium++Netherlands""]"
Pittodrie Stadium,,Netherlands,,,,,https://www.google.com/maps/search/?api=1&query=Pittodrie+Stadium%2C+Netherlands,21421,21421,[],[],[],true,https://www.afc.co.uk/club/pittodrie-stadium/,,,,"[""https://en.wikipedia.org/wiki/Pittodrie_Stadium"",""https://www.wikidata.org/wiki/Q1141259"",""https://www.wikidata.org/wiki/Q1141259#P1083"",""https://nominatim.openstreetmap.org/search?format=jsonv2&q=Pittodrie+Stadium%2C+Netherlands&limit=1&addressdetails=1"",""https://www.wikidata.org/wiki/Q1141259#P856"",""https://www.eventbrite.com/d/netherlands/Pittodrie+Stadium++Netherlands"",""https://www.ticketmaster.com/search?q=Pittodrie+Stadium++Netherlands""]"
R. Premadasa Stadium,,Netherlands,stadium,,,,https://www.google.com/maps/search/?api=1&query=R.+Premadasa+Stadium%2C+Netherlands,35000,35000,"[""concerts"",""sports""]",[],[],,,,,,"[""https://en.wikipedia.org/wiki/R._Premadasa_Stadium"",""https://www.wikidata.org/wiki/Q2121558"",""https://www.wikidata.org/wiki/Q2121558#P1083"",""https://nominatim.openstreetmap.org/search?format=jsonv2&q=R.+Premadasa+Stadium%2C+Netherlands&limit=1&addressdetails=1"",""https://www.eventbrite.com/d/netherlands/R.+Premadasa+Stadium++Netherlands"",""https://www.ticketmaster.com/search?q=R.+Premadasa+Stadium++Netherlands""]"
Rave,Maastricht,Netherlands,,"Jonker Ravestraat, Amby, Maastricht-Oost, Maastricht, Limburg, Nederland, 6225 DR, Nederland",50.8573757,5.7297368,"https://www.google.com/maps?q=50.8573757,5.7297368",,,[],[],[],,,,,,"[""https://en.wikipedia.org/wiki/Rave"",""https://www.wikidata.org/wiki/Q645767"",""https://nominatim.openstreetmap.org/search?format=jsonv2&q=Rave%2C+Netherlands&limit=1&addressdetails=1"",""https://www.eventbrite.com/d/netherlands/Rave+Maastricht+Netherlands"",""https://www.ticketmaster.com/search?q=Rave+Maastricht+Netherlands""]"
