venue_name,city,country,venue_type,address,latitude,longitude,google_maps_url,capacity_min,capacity_max,event_types,past_events,upcoming_events,booking_available,booking_url,venue_operator,partnership_required,notes,sources
ZAG-Arena,Hannover,Germany,,"ZAG Arena, 7, Expo Plaza, Expo Park, Mittelfeld, Döhren-Wülfel, Hannover, Region Hannover, Niedersachsen, 30539, Deutschland",52.322433,9.8165001,"https://www.google.com/maps?q=52.322433,9.8165001",10767,10767,[],[],[],true,https://www.facebook.com/zagarenahannover/,,,official_site_links={'events_url': 'https://www.zag-arena-hannover.de/business/business-events/'},"[""https://en.wikipedia.org/wiki/ZAG-Arena"",""https://www.wikidata.org/wiki/Q266140"",""https://www.wikidata.org/wiki/Q266140#P1083"",""https://nominatim.openstreetmap.org/search?format=jsonv2&q=ZAG-Arena%2C+Germany&limit=1&addressdetails=1"",""https://www.wikidata.org/wiki/Q266140#P856"",""https://www.zag-arena-hannover.de/business/business-events/"",""https://www.facebook.com/zagarenahannover/"",""https://www.eventbrite.com/d/germany/ZAG-Arena+Hannover+Germany"",""https://www.ticketmaster.com/search?q=ZAG-Arena+Hannover+Germany""]"
ÖVB Arena,Bremen,Germany,,"ÖVB-Arena, Gustav-Deetjen-Allee, Barkhof, Schwachhausen, Bremen-Ost, Bremen, 28209, Deutschland",53.0866902,8.8168654,"https://www.google.com/maps?q=53.0866902,8.8168654",14500,14500,[],[],[],true,https://www.facebook.com/oevbarena/,,,official_site_links={'events_url': 'https://oevb-arena.de/events/'},"[""https://en.wikipedia.org/wiki/ÖVB_Arena"",""https://www.wikidata.org/wiki/Q315696"",""https://www.wikidata.org/wiki/Q315696#P1083"",""https://nominatim.openstreetmap.org/search?format=jsonv2&q=%C3%96VB+Arena%2C+Germany&limit=1&addressdetails=1"",""https://www.wikidata.org/wiki/Q315696#P856"",""https://oevb-arena.de/events/"",""https://www.facebook.com/oevbarena/"",""https://www.eventbrite.com/d/germany/%C3%96VB+Arena+Bremen+Germany"",""https://www.ticketmaster.com/search?q=%C3%96VB+Arena+Bremen+Germany""]"
Akon Arena,Würzburg,Germany,stadium,"AKON ARENA, Mittlerer Dallenbergweg, Steinbachtal, Würzburg, Bayern, 97082, Deutschland",49.7672072,9.9328429,"https://www.google.com/maps?q=49.7672072,9.9328429",14500,14500,"[""concerts"",""sports""]",[],[],,,,,,"[""https://en.wikipedia.org/wiki/Akon_Arena"",""https://www.wikidata.org/wiki/Q1716424"",""https://www.wikidata.org/wiki/Q1716424#P1083"",""https://nominatim.openstreetmap.org/search?format=jsonv2&q=Akon+Arena%2C+Germany&limit=1&addressdetails=1"",""https://www.eventbrite.com/d/germany/Akon+Arena+W%C3%BCrzburg+Germany"",""https://www.ticketmaster.com/search?q=Akon+Arena+W%C3%BCrzburg+Germany""]"
Alfred-Kunze-Sportpark,Leipzig,Germany,stadium,"Alfred-Kunze-Sportpark, 2, Am Sportpark, Leutzsch, Altwest, Leipzig, Sachsen, 04179, Deutschland",51.3594079,12.3070365,"https://www.google.com/maps?q=51.3594079,12.3070365",20000,20000,"[""concerts"",""sports""]",[],[],,,,,,"[""https://en.wikipedia.org/wiki/Alfred-Kunze-Sportpark"",""https://www.wikidata.org/wiki/Q318721"",""https://www.wikidata.org/wiki/Q318721#P1083"",""https://nominatim.openstreetmap.org/search?format=jsonv2&q=Alfred-Kunze-Sportpark%2C+Germany&limit=1&addressdetails=1"",""https://www.eventbrite.com/d/germany/Alfred-Kunze-Sportpark+Leipzig+Germany"",""https://www.ticketmaster.com/search?q=Alfred-Kunze-Sportpark+Leipzig+Germany""]"
Alte Oper,Frankfurt am Main,Germany,music venue,"Alte Oper, 1, Opernplatz, Innenstadt, Innenstadt 1, Frankfurt am Main, Hessen, 60313, Deutschland",50.1160471,8.6719866,"https://www.google.com/maps?q=50.1160471,8.6719866",,,"[""concerts"",""cultural events""]",[],[],true,https://www.facebook.com/alteoperfrankfurt?ref=hl,,,,"[""https://en.wikipedia.org/wiki/Alte_Oper"",""https://www.wikidata.org/wiki/Q436079"",""https://nominatim.openstreetmap.org/search?format=jsonv2&q=Alte+Oper%2C+Germany&limit=1&addressdetails=1"",""https://www.wikidata.org/wiki/Q436079#P856"",""https://www.eventbrite.com/d/germany/Alte+Oper+Frankfurt+am+Main+Germany"",""https://www.ticketmaster.com/search?q=Alte+Oper+Frankfurt+am+Main+Germany""]"
Apollinarisstadion,Bad Neuenahr-Ahrweiler,Germany,stadium,"Apollinarisstadion, Kreuzstraße, Neuenahr, Bad Neuenahr-Ahrweiler, Landkreis Ahrweiler, Rheinland-Pfalz, 53474, Deutschland",50.543716,7.151314,"https://www.google.com/maps?q=50.543716,7.151314",4558,4558,"[""concerts"",""sports""]",[],[],,,,,,"[""https://en.wikipedia.org/wiki/Apollinarisstadion"",""https://www.wikidata.org/wiki/Q618921"",""https://www.wikidata.org/wiki/Q618921#P1083"",""https://nominatim.openstreetmap.org/search?format=jsonv2&q=Apollinarisstadion%2C+Germany&limit=1&addressdetails=1"",""https://www.eventbrite.com/d/germany/Apollinarisstadion+Bad+Neuenahr-Ahrweiler+Germany"",""https://www.ticketmaster.com/search?q=Apollinarisstadion+Bad+Neuenahr-Ahrweiler+Germany""]"
Arena Ulm/Neu-Ulm,Neu-Ulm,Germany,arena,"Arena, Arena Vorplatz, Neu-Ulm, Landkreis Neu-Ulm, Bayern, 89231, Deutschland",48.3818676,10.0055313,"https://www.google.com/maps?q=48.3818676,10.0055313",6100,6100,"[""concerts"",""esports"",""sports""]",[],[],,,,,,"[""https://en.wikipedia.org/wiki/Arena_Ulm/Neu-Ulm"",""https://www.wikidata.org/wiki/Q1303381"",""https://www.wikidata.org/wiki/Q1303381#P1083"",""https://nominatim.openstreetmap.org/search?format=jsonv2&q=Arena+Ulm%2FNeu-Ulm%2C+Germany&limit=1&addressdetails=1"",""https://www.eventbrite.com/d/germany/Arena+Ulm%2FNeu-Ulm+Neu-Ulm+Germany"",""https://www.ticketmaster.com/search?q=Arena+Ulm%2FNeu-Ulm+Neu-Ulm+Germany""]"
Auestadion,Kassel,Germany,stadium,"Auestadion, 143, Frankfurter Straße, Südstadt, Kassel, Hessen, 34121, Deutschland",51.298742,9.4830253,"https://www.google.com/maps?q=51.298742,9.4830253",17993,17993,"[""concerts"",""sports""]",[],[],,,,,,"[""https://en.wikipedia.org/wiki/Auestadion"",""https://www.wikidata.org/wiki/Q759298"",""https://www.wikidata.org/wiki/Q759298#P1083"",""https://nominatim.openstreetmap.org/search?format=jsonv2&q=Auestadion%2C+Germany&limit=1&addressdetails=1"",""https://www.eventbrite.com/d/germany/Auestadion+Kassel+Germany"",""https://www.ticketmaster.com/search?q=Auestadion+Kassel+Germany""]"
Augsburg Arena,Augsburg,Germany,stadium,"WWK ARENA, 90, Bürgermeister-Ulrich-Straße, Universitätsviertel, Augsburg, Bayern, 86199, Deutschland",48.3231179,10.885879,"https://www.google.com/maps?q=48.3231179,10.885879",30660,30660,"[""concerts"",""sports""]",[],[],,,,,,"[""https://en.wikipedia.org/wiki/Augsburg_Arena"",""https://www.wikidata.org/wiki/Q167418"",""https://www.wikidata.org/wiki/Q167418#P1083"",""https://nominatim.openstreetmap.org/search?format=jsonv2&q=Augsburg+Arena%2C+Germany&limit=1&addressdetails=1"",""https://www.eventbrite.com/d/germany/Augsburg+Arena+Augsburg+Germany"",""https://www.ticketmaster.com/search?q=Augsburg+Arena+Augsburg+Germany""]"
Avnet Arena,Magdeburg,Germany,stadium,"Avnet Arena, 1, Heinz-Krügel-Platz, Stadion, Cracau, Magdeburg, Sachsen-Anhalt, 39114, Deutschland",52.1248901,11.6706866,"https://www.google.com/maps?q=52.1248901,11.6706866",30098,30098,"[""concerts"",""sports""]",[],[],,,,,,"[""https://en.wikipedia.org/wiki/Avnet_Arena"",""https://www.wikidata.org/wiki/Q473032"",""https://www.wikidata.org/wiki/Q473032#P1083"",""https://nominatim.openstreetmap.org/search?format=jsonv2&q=Avnet+Arena%2C+Germany&limit=1&addressdetails=1"",""https://www.eventbrite.com/d/germany/Avnet+Arena+Magdeburg+Germany"",""https://www.ticketmaster.com/search?q=Avnet+Arena+Magdeburg+Germany""]"
