col1,col2,col3,col4,col5,col6,col7,venue_type
Accra Sports Stadium,"40,000",Accra,Ghana,Africa,"Accra Hearts of Oak, Accra Great Olympics",Association football,Stadium
Pratt   Whitney Stadium,"40,000","East Hartford, Connecticut",United States,North America,UConn Huskies football,American football,Stadium
Sarawak Stadium,"40,000",Kuching,Malaysia,Southeast Asia,Sarawak FA,Association football,Stadium
Stade d'Angondjé,"40,000",Angondjé,Gabon,Africa,Gabon national football team,Association football,Stadium
Bogyoke Aung San Stadium,"40,000",Yangon,Myanmar,Southeast Asia,local football teams,Association football,Stadium
Wuhu Olympic Stadium,"40,000","Wuhu, Anhui",China,East Asia,local football teams,Association football,Stadium
Hauptstadion,"40,000",Aachen,Germany,Europe,Aachen-Laurensberger Rennverein  de ,Equestrian and show jumping,Stadium
Xining Stadium,"40,000",Xining,China,East Asia,local football teams,Association football,Stadium
Shaoxing China Textile City Sports Center,"40,000",Shaoxing,China,East Asia,,Athletics,Stadium
Anqing Sports Centre Stadium,"40,000",Anqing,China,East Asia,,Athletics,Stadium
Monumental Stadium of Caracas Simón Bolívar,"40,000",Caracas,Venezuela,South America,Leones del Caracas,Baseball,Stadium
Mineirinho,"25,000",Belo Horizonte,Brazil,,,,Indoor Arena
SKA Arena,"22,500",Saint Petersburg, Russia,,,,Indoor Arena
Arena Ciudad de México 4 ,"22,300",Mexico City,Mexico,,,,Indoor Arena
Bell Centre,"22,114",Montreal,Canada,,,,Indoor Arena
KFC Yum! Center,"22,090","Louisville, Kentucky", United States,,,,Indoor Arena
Dean Smith Center,"21,750","Chapel Hill, North Carolina",United States,,,,Indoor Arena
Thompson–Boling Arena,"21,678","Knoxville, Tennessee",United States,,,,Indoor Arena
United Center,"20,917",Chicago, United States,,,,Indoor Arena
Amerant Bank Arena,"20,737","Sunrise, Florida", United States,,,,Indoor Arena
Tacoma Dome,"20,722","Tacoma, Washington",United States,,,,Indoor Arena
Benchmark International Arena,"20,500","Tampa, Florida", United States,,,,Indoor Arena
Canadian Tire Centre,"20,500",Ottawa, Canada,,,,Indoor Arena
Xfinity Mobile Arena,"20,478",Philadelphia,United States,,,,Indoor Arena
Capital One Arena,"20,356","Washington, D.C.", United States,,,,Indoor Arena
Little Caesars Arena,"20,335",Detroit, United States,,,,Indoor Arena
Pyongyang Gymnasium,"20,100",Pyongyang,North Korea,,,,Indoor Arena
Beach City International Stadium,"20,053",Jakarta,Indonesia,,,,Indoor Arena
MVM Dome,"20,028",Budapest,Hungary,,,,Indoor Arena
Coliseo Amauta,"20,000",Lima,Peru,,,,Indoor Arena
Giti Pasand Arena,"20,000",Isfahan,Iran,,,,Indoor Arena
Palacio de los Deportes,"20,000",Mexico City,Mexico,,,,Indoor Arena
Poliedro de Caracas,"20,000",Caracas, Venezuela,,,,Indoor Arena
Madison Square Garden,"19,812",New York City, United States,,,,Indoor Arena
Rogers Arena,"19,700",Vancouver, Canada,,,,Indoor Arena
Kaseya Center,"19,600",Miami, United States,,,,Indoor Arena
Oakland Arena,"19,596","Oakland, California", United States,,,,Indoor Arena
Ball Arena,"19,520",Denver, United States,,,,Indoor Arena
Lanxess Arena,"19,500",Cologne, Germany,,,,Indoor Arena
Lenovo Center,"19,500","Raleigh, North Carolina", United States,,,,Indoor Arena
Nationwide Arena,"19,500","Columbus, Ohio", United States,,,,Indoor Arena
Rogers Place,"19,500",Edmonton, Canada,,,,Indoor Arena
Rocket Arena,"19,432",Cleveland, United States,,,,Indoor Arena
Bridgestone Arena,"19,395","Nashville, Tennessee", United States,,,,Indoor Arena
Moda Center,"19,393","Portland, Oregon", United States,,,,Indoor Arena
Bud Walton Arena,"19,368","Fayetteville, Arkansas", United States,,,,Indoor Arena
Scotiabank Saddledome,"19,289",Calgary, Canada,,,,Indoor Arena
American Airlines Center,"19,200",Dallas, United States,,,,Indoor Arena
KeyBank Center,"19,200","Buffalo, New York", United States,,,,Indoor Arena
TD Garden,"19,156",Boston, United States,,,,Indoor Arena
Spectrum Center,"19,077","Charlotte, North Carolina", United States,,,,Indoor Arena
Crypto.com Arena,"19,076","Los Angeles, California", United States,,,,Indoor Arena
Value City Arena at the Jerome Schottenstein Center,"19,049","Columbus, Ohio", United States,,,,Indoor Arena
PPG Paints Arena,"19,000",Pittsburgh, United States,,,,Indoor Arena
Cadillac Arena,"19,000",Beijing, China,,,,Indoor Arena
T-Mobile Center,"18,972","Kansas City, Missouri", United States,,,,Indoor Arena
Freedom Hall,"18,865","Louisville, Kentucky", United States,,,,Indoor Arena
Kia Center,"18,846","Orlando, Florida", United States,,,,Indoor Arena
Target Center,"18,798",Minneapolis, United States,,,,Indoor Arena
Prudential Center,"18,711","Newark, New Jersey", United States,,,,Indoor Arena
SAP Center at San Jose,"18,543","San Jose, California", United States,,,,Indoor Arena
Smoothie King Center,"18,500",New Orleans, United States,,,,Indoor Arena
Frost Bank Center,"18,418",San Antonio, United States,,,,Indoor Arena
Gainbridge Fieldhouse,"18,345",Indianapolis, United States,,,,Indoor Arena
Honda Center,"18,336","Anaheim, California", United States,,,,Indoor Arena
CHI Health Center Omaha,"18,320","Omaha, Nebraska", United States,,,,Indoor Arena
Delta Center,"18,306",Salt Lake City, United States,,,,Indoor Arena
Climate Pledge Arena,"18,300",Seattle, United States,,,,Indoor Arena
Videotron Centre,"18,259","Quebec City, Quebec", Canada,,,,Indoor Arena
Allstate Arena,"18,211","Rosemont, Illinois", United States,,,,Indoor Arena
Paycom Center,"18,203",Oklahoma City, United States,,,,Indoor Arena
FedExForum,"18,119","Memphis, Tennessee", United States,,,,Indoor Arena
Toyota Center,"18,104",Houston, United States,,,,Indoor Arena
Enterprise Center,"18,096","St. Louis, Missouri", United States,,,,Indoor Arena
Chase Center,"18,064",San Francisco, United States,,,,Indoor Arena
Qudos Bank Arena,"18,000",Sydney, Australia,,,,Indoor Arena
Damai Center,"18,000",Dalian, China,,,,Indoor Arena
Beijing National Indoor Stadium,"18,000",Beijing, China,,,,Indoor Arena
