col1,col2,col3,col4,col5,col6,col7,venue_type
Benjamin Mkapa Stadium,"60,000",Dar es Salaam,Tanzania,Africa,"Tanzania national football team, Simba SC, Young Africans",Association football,Stadium
Guangxi Sports Center Stadium,"60,000","Nanning, Guangxi",China,East Asia,local football teams,"Association football, athletics",Stadium
Hefei Olympic Sports Center Stadium,"60,000","Hefei, Anhui",China,East Asia,local football teams,"Association football, athletics",Stadium
Milan Puskar Stadium,"60,000","Morgantown, West Virginia",United States,North America,West Virginia Mountaineers football,American football,Stadium
Morodok Techo National Stadium,"60,000",Phnom Penh,Cambodia,South East Asia,Cambodia national football team,Association football,Stadium
Moshood Abiola National Stadium,"60,000",Abuja,Nigeria,Africa,Nigeria national football team,Association football,Stadium
National Heroes Stadium,"60,000",Lusaka,Zambia,Africa,Zambia national football team,Association football,Stadium
Nanjing Olympic Sports Center,"60,000","Nanjing, Jiangsu",China,East Asia,,"Association football, athletics",Stadium
Odi Stadium,"60,000",Mabopane,South Africa,Africa,Garankuwa United,Association football,Stadium
Ordos Sports Centre Stadium,"60,000",Ordos,China,East Asia,,Athletics,Stadium
Shenyang Olympic Sports Center Stadium,"60,000","Shenyang, Liaoning",China,East Asia,,"Association football, athletics",Stadium
Stade Léopold Sédar Senghor,"60,000",Dakar,Senegal,Africa,"Senegal national football team, ASC Jeanne d'Arc",Association football,Stadium
Tigray Stadium,"60,000",Mekelle,Ethiopia,Africa,"Mekelle City, Shire Endaselassie F.C., Dedebit F.C.",Association football,Stadium
Stade Tata Raphaël,"60,000",Kinshasa,Democratic Republic of the Congo,Africa,"Daring Club Motema Pembe, AS Vita Club",Association football,Stadium
Tianhe Stadium,"60,000","Guangzhou, Guangdong",China,East Asia,,Association football,Stadium
Haixia Olympic Center Stadium,"59,562",Fuzhou,China,East Asia,,Athletics,Stadium
Chongqing Olympic Sports Center,"58,680",Chongqing,China,East Asia,,Association football,Stadium
PGE Stadion Narodowy,"58,580",Warsaw,Poland,Europe,Poland national football team,Association football,Stadium
Stadio San Nicola,"58,248",Bari,Italy,Europe,A.S. Bari,Association football,Stadium
Arizona Stadium,"57,803","Tucson, Arizona",United States,North America,Arizona Wildcats football,American football,Stadium
Volksparkstadion,"57,030",Hamburg,Germany,Europe,Hamburger SV,Association football,Stadium
Estadio Mario Alberto Kempes,"57,000",Córdoba,Argentina,South America,,Association football,Stadium
Jinan Olympic Sports Center Stadium,"56,808","Jinan, Shandong",China,East Asia,Shandong Taishan,"Association football, athletics",Stadium
Estadio Jalisco,"56,713",Guadalajara,Mexico,North America,"Club Atlas, Leones Negros UdeG",Association football,Stadium
Commonwealth Stadium,"56,302",Edmonton,Canada,North America,Edmonton Elks,"Canadian football, association football, rugby union, athletics",Stadium
Olympic Stadium,"56,040",Montreal,Canada,North America,"Montreal Alouettes*, 122  CF Montréal* 123 ","Canadian football, baseball, association football",Stadium
Dodger Stadium,"56,000",Los Angeles,United States,North America,Los Angeles Dodgers,Baseball,Stadium
19 May 1956 Stadium,"56,000",Annaba,Algeria,Africa,USM Annaba,Association football,Stadium
City of Manchester Stadium,"55,097",Manchester,United Kingdom,Europe,Manchester City F.C.,Association football,Stadium
Singapore National Stadium,"55,000",Singapore,Singapore,Southeast Asia,Singapore national football team,"Association football, rugby, cricket, athletics",Stadium
Rajiv Gandhi International Cricket Stadium,"55,000",Hyderabad,India,South Asia,"Indian National Cricket  team, Sunrisers Hyderabad","Cricket, athletics",Stadium
Bobby Dodd Stadium,"55,000",Atlanta,United States,North America,Georgia Tech Yellow Jackets football,American football,Stadium
Estadio Latinoamericano,"55,000",Havana,Cuba,South America,"Industriales, Metropolitanos",Baseball,Stadium
Helong Sports Center Stadium,"55,000","Changsha, Hunan",China,East Asia,Hunan Billows F.C. (Hunan Xiangtao),Association football,Stadium
Semple Stadium,"55,000",Thurles,Ireland,Europe,Tipperary GAA,"Hurling, Gaelic football",Stadium
National Stadium,"55,000",Kaohsiung,Taiwan,East Asia,,Association football,Stadium
Plovdiv Stadium,"55,000",Plovdiv,Bulgaria,Europe,junior football teams,"Association football, athletics",Stadium
Stadio Diego Armando Maradona,"54,726",Naples,Italy,Europe,Napoli,Association football,Stadium
Tianjin Olympic Centre Stadium,"54,696",Tianjin,China,East Asia,Tianjin Jinmen Tiger,Association football,Stadium
Esprit Arena,"54,600",Düsseldorf,Germany,Europe,Fortuna Düsseldorf,Association football,Stadium
BC Place,"54,320",Vancouver,Canada,North America,"BC Lions, Vancouver Whitecaps FC","Canadian football, association football",Stadium
Yankee Stadium,"54,251",New York City,United States,North America,"New York Yankees, New York City FC","Baseball, association football",Stadium
Hrazdan Stadium,"54,208",Yerevan,Armenia,Western Asia,Armenia national football team,Association football,Stadium
Borussia-Park,"54,067",Mönchengladbach,Germany,Europe,Borussia Mönchengladbach,Association football,Stadium
Autzen Stadium,"54,000","Eugene, Oregon",United States,North America,Oregon Ducks football,American football,Stadium
Busan Asiad Stadium,"53,864",Busan,South Korea,East Asia,Busan IPark,Association football,Stadium
Folsom Field,"53,750","Boulder, Colorado",United States,North America,Colorado Buffaloes football,American football,Stadium
Estadio Único Diego Armando Maradona,"53,600",La Plata,Argentina,South America,"Club de Gimnasia y Esgrima La Plata*, Estudiantes de La Plata*",Association football,Stadium
Adelaide Oval,"53,500",Adelaide,Australia,Oceania,"Australia national cricket team*, Southern Redbacks, Adelaide Strikers, Adelaide Crows, Port Adelaide Football Club","Cricket, Australian rules football",Stadium
Estadio Cuscatlán,"53,400",San Salvador, El Salvador,North America,"Alianza F.C., El Salvador national football team",Association football,Stadium
Marvel Stadium,"53,359",Melbourne,Australia,Oceania,"Western Bulldogs, St Kilda FC, Carlton Football Club, Essendon Football Club, North Melbourne Football Club, Melbourne Renegades","Australian rules football, cricket, association football",Stadium
Estádio Parque do Sabiá,"53,350",Uberlândia,Brazil,South America,Uberlândia Esporte Clube,Association football,Stadium
San Mamés,"53,332",Bilbao,Spain,Europe,Athletic Bilbao,Association football,Stadium
Aleppo International Stadium,"53,200",Aleppo,Syria,Western Asia,Al-Ittihad,Association football,Stadium
National Stadium of Peru,"53,086",Lima,Peru,South America,Peru national football team,Association football,Stadium
Hill Dickinson Stadium,"52,769",Liverpool,United Kingdom,Europe,Everton F.C.,Association football,Stadium
Memorial Stadium,"52,692","Bloomington, Indiana",United States,North America,Indiana Hoosiers football,American football,Stadium
Wuhan Sports Center Stadium,"52,672","Wuhan, Hubei",China,East Asia,Wuhan Zall F.C.,Association football,Stadium
Nef Stadium,"52,652",Istanbul,Turkey,Europe,Galatasaray S.K.,Association football,Stadium
Franklin Field,"52,593",Philadelphia,United States,North America,Penn Quakers football,"American football, athletics",Stadium
Şükrü Saracoğlu Stadium,"52,530",Istanbul,Turkey,Western Asia,Fenerbahçe S.K.,Association football,Stadium
Donbas Arena,"52,518",Donetsk,Ukraine,Europe,,Association football,Stadium
Lang Park,"52,500",Brisbane,Australia,Oceania,"Queensland Maroons, Brisbane Broncos, Queensland Reds, Brisbane Roar,Australia Kangaroos*, Australia Wallabies*, Australia Socceroos*","Rugby league, rugby union, association football",Stadium
SHI Stadium,"52,454","Piscataway, New Jersey",United States,North America,Rutgers Scarlet Knights football,"American football, association football, lacrosse",Stadium
St James' Park,"52,387",Newcastle upon Tyne,United Kingdom,Europe,Newcastle United F.C.,Association football,Stadium
Bill Snyder Family Football Stadium,"52,200","Manhattan, Kansas",United States,North America,Kansas State Wildcats football,American football,Stadium
Estádio José Alvalade,"52,095",Lisbon,Portugal,Europe,Sporting Clube de Portugal,Association football,Stadium
Huainan Sports Stadium,"52,080","Huainan, Anhui",China,East Asia,local football teams,Association football,Stadium
Estadio Monumental de Maturín,"52,000",Maturín,Venezuela,South America,Monagas,Association football,Stadium
Guiyang Olympic Sports Center,"52,000","Guiyang, Guizhou",China,East Asia,,Association football,Stadium
SECU Stadium,"51,802","College Park, Maryland",United States,North America,Maryland Terrapins football,"American football, lacrosse",Stadium
Loftus Versfeld Stadium,"51,762",Pretoria,South Africa,Africa,"Bulls, Blue Bulls, South Africa national rugby union team*, SuperSport United*","Rugby union, cricket, association football",Stadium
Hohhot City Stadium,"51,632","Hohhot, Inner Mongolia",China,East Asia,local football teams,Association football,Stadium
Sun Bowl Stadium,"51,500","El Paso, Texas",United States,North America,UTEP Miners football,American football,Stadium
Shizuoka Stadium,"51,349",Fukuroi,Japan,East Asia,"Júbilo Iwata*, Shimizu S-Pulse*",Association football,Stadium
Newlands Stadium,"51,100",Cape Town,South Africa,Africa,,,Stadium
Dowdy–Ficklen Stadium,"51,000","Greenville, North Carolina",United States,North America,East Carolina Pirates football,American football,Stadium
Huntington Bank Stadium,"50,805",Minneapolis,United States,North America,Minnesota Golden Gophers football,American football,Stadium
Hocine Aït Ahmed Stadium,"50,766",Tizi Ouzou,Algeria,Africa,JS Kabylie,Association football,Stadium
Strawberry Arena,"50,653",Solna,Sweden,Europe,"AIK, Sweden men's national football team",Association football,Stadium
Independence Stadium,"50,459","Shreveport, Louisiana",United States,North America,Independence Bowl,American football,Stadium
Coors Field,"50,445","Denver, Colorado",United States,North America,Colorado Rockies,Baseball,Stadium
Stanford Stadium,"50,424","Stanford, California",United States,North America,Stanford Cardinal football,American football,Stadium
Incheon Munhak Stadium,"50,256",Incheon,South Korea,East Asia,,Association football,Stadium
Stade Pierre-Mauroy,"50,186",Villeneuve-d'Ascq,France,Europe,Lille OSC,Association football,Stadium
Ajinomoto Stadium,"50,100",Chōfu,Japan,East Asia,"FC Tokyo, Tokyo Verdy",Association football,Stadium
David Booth Kansas Memorial Stadium,"50,071","Lawrence, Kansas",United States,North America,Kansas Jayhawks football,American football,Stadium
Estádio do Dragão,"50,033",Porto,Portugal,Europe,FC Porto,Association football,Stadium
Brabourne Stadium,"50,000",Mumbai,India,South Asia,"Bombay Quadrangular, Rajasthan Royals",Cricket,Stadium
JSCA International Cricket Stadium,"50,000",Ranchi,India,South Asia,"India national cricket team, Jharkhand cricket team",Cricket,Stadium
Kozhikode Corporation EMS Stadium,"50,000",Kozhikode,India,South Asia,Gokulam Kerala,"Association football, Cricket",Stadium
Charles Mopeli Stadium,"50,000",Phuthaditjhaba,South Africa,Africa,Free State Stars*,Association football,Stadium
Eden Park,"50,000",Auckland,New Zealand,Oceania,"Auckland Blues, New Zealand national rugby union team*, Auckland Aces*, New Zealand national cricket team*","Rugby union, cricket",Stadium
Edion Stadium Hiroshima,"50,000",Hiroshima,Japan,East Asia,Sanfrecce Hiroshima,Association football,Stadium
Nagai Stadium,"50,000",Osaka,Japan,East Asia,Cerezo Osaka,"Association football, athletics",Stadium
Stade du 26 Mars,"50,000",Bamako,Mali,Africa,Stade Malien,Association football,Stadium
Sultan Mizan Zainal Abidin Stadium,"50,000",Kuala Terengganu,Malaysia,Southeast Asia,Terengganu FC,"Association football, athletics",Stadium
Henan Provincial Stadium,"50,000","Zhengzhou, Henan",China,East Asia,local football teams,Association football,Stadium
Xinjiang Sports Centre,"50,000","Ürümqi, Xinjiang",China,East Asia,local football teams,Association football,Stadium
Wenzhou Olympic Sports Center Stadium,"50,000","Wenzhou, Zhejiang",China,East Asia,,Association football,Stadium
Estádio 11 de Novembro,"50,000",Luanda,Angola,Africa,,Association football,Stadium
Guangzhou University City Stadium,"50,000","Guangzhou, Guangdong",China,East Asia,local football teams,Association football,Stadium
Jiangxi Olympic Sports Center,"50,000","Nanchang, Jiangxi",China,East Asia,local football teams,"Association football, athletics",Stadium
Max-Morlock-Stadion,"50,000",Nuremberg,Germany,Europe,1. FC Nürnberg,Association football,Stadium
RheinEnergieStadion,"50,000",Cologne,Germany,Europe,1. FC Köln,Association football,Stadium
Qingdao Youth Football Stadium,"50,000","Qingdao, Shandong",China,East Asia,,Association football,Stadium
Kai Tak Sports Park Main Stadium,"50,000",Hong Kong,China,East Asia,"Hong Kong national football team, Hong Kong national rugby union team","Association football, Rugby union",Stadium
Fritz-Walter-Stadion,"49,780",Kaiserslautern,Germany,Europe,1. FC Kaiserslautern,Association football,Stadium
José Amalfitani Stadium,"49,540",Buenos Aires,Argentina,South America,"Club Atlético Vélez Sarsfield, Argentina national rugby union team*, Jaguares","Association football, rugby union",Stadium
Mestalla,"49,430",Valencia,Spain,Europe,Valencia CF,Association football,Stadium
JMA Wireless Dome,"49,250","Syracuse, New York",United States,North America,"Syracuse Orange football, Syracuse Orange men's basketball, Syracuse Orange men's lacrosse, Syracuse Orange women's basketball","American football, basketball, lacrosse",Stadium
Miyagi Stadium,"49,133",Rifu,Japan,East Asia,Vegalta Sendai*,"Association football, athletics",Stadium
Globe Life Park in Arlington,"49,115","Arlington, Texas",United States,North America,"Dallas Renegades, North Texas SC","American football, association football",Stadium
Chase Field,"49,033","Phoenix, Arizona",United States,North America,Arizona Diamondbacks,Baseball,Stadium
Niedersachsenstadion,"49,000",Hanover,Germany,Europe,Hannover 96,Association football,Stadium
Queensland Sport and Athletics Centre,"49,000",Brisbane,Australia,Oceania,,"Rugby league, Athletics",Stadium
Oriole Park at Camden Yards,"48,876",Baltimore,United States,North America,Baltimore Orioles,Baseball,Stadium
Parc des Princes,"48,712",Paris,France,Europe,Paris Saint-Germain,Association football,Stadium
Estadio Nacional Julio Martínez Prádanos,"48,665",Santiago,Chile,South America,"Chile national football team, Club Universidad de Chile*","Association football, athletics",Stadium
Nelson Mandela Bay Stadium,"48,459",Port Elizabeth,South Africa,Africa,"Southern Kings, Eastern Province Elephants","Rugby union, association football",Stadium
Estadio Tomás Adolfo Ducó,"48,314",Buenos Aires,Argentina,South America,Club Atlético Huracán,Association football,Stadium
T-Mobile Park,"48,116",Seattle,United States,North America,Seattle Mariners,Baseball,Stadium
Rajamangala Stadium,"48,000",Bangkok,Thailand,Southeast Asia,Thailand national football team,Association football,Stadium
Harbin International Convention Exhibition and Sports Center,"48,000",Harbin,China,East Asia,,Athletics,Stadium
Sydney Cricket Ground,"48,000",Sydney,Australia,Oceania,"Australia national cricket team*, Sydney Roosters, New South Wales Blues (cricket), Sydney 6ers, Sydney Swans, Sydney FC","Cricket, Australian rules football, rugby league, Association football",Stadium
Estadio Malvinas Argentinas,"48,000",Mendoza,Argentina,South America,Ciudad de Mendoza,Association football,Stadium
Fisht Olympic Stadium,"47,659",Sochi,Russia,Europe,PFC Sochi,"Association football, athletics",Stadium
Protective Stadium,"47,100",Birmingham,United States,North America,"Birmingham Legion FC, Birmingham Stallions, UAB Blazers","American football, association football",Stadium
Estadio Monumental David Arellano,"47,017",Santiago,Chile,South America,Colo-Colo,Association football,Stadium
Estádio Olímpico Nilton Santos,"46,931",Rio de Janeiro,Brazil,South America,Botafogo,"Association football, athletics",Stadium
Busch Stadium,"46,861",St. Louis,United States,North America,St. Louis Cardinals,Baseball,Stadium
Estadio Metropolitano Roberto Meléndez,"46,788",Barranquilla,Colombia,South America,"Colombia national football team, Atlético Junior",Association football,Stadium
Peter Mokaba Stadium,"46,000",Polokwane,South Africa,Africa,,Association football,Stadium
Estádio Prudentão,"45,954",Presidente Prudente,Brazil,South America,,Association football,Stadium
Tokyo Dome,"45,600",Tokyo,Japan,East Asia,Yomiuri Giants,Baseball,Stadium
Volgograd Arena,"45,568",Volgograd,Russia,Europe,FC Rotor Volgograd,Association football,Stadium
Amahoro National Stadium,"45,508",Kigali,Rwanda,Africa,"APR F.C., Rwanda national football team, Rayon Sports F.C., S.C. Kiyovu Sports...",Association football,Stadium
Páirc Uí Chaoimh,"45,500",Cork,Ireland,Europe,Cork GAA,"Hurling, Gaelic football",Stadium
Ramón Sánchez Pizjuán Stadium,"45,500",Seville,Spain,Europe,Sevilla FC,Association football,Stadium
Adrar Stadium,"45,480",Agadir,Morocco,Africa,Hassania Agadir,Association football,Stadium
Arena MRV,"45,414",Belo Horizonte,Brazil,South America,Atlético Mineiro,Association football,Stadium
Lukoil Arena,"45,360",Moscow,Russia,Europe,FC Spartak Moscow,Association football,Stadium
Mandela National Stadium,"45,202",Kampala,Uganda,Africa,Uganda national football team,Association football,Stadium
McLane Stadium,"45,140","Waco, Texas",United States,North America,Baylor Bears football,American football,Stadium
Wrocław Municipal Stadium,"45,105",Wrocław,Poland,Europe,Śląsk Wrocław,Association football,Stadium
Kazan Arena,"45,105",Kazan,Russia,Europe,FC Rubin Kazan,"Association football, athletics",Stadium
Estadio Garcilaso,"45,056",Cusco,Peru,South America,Cienciano,Association football,Stadium
Angel Stadium of Anaheim,"45,050","Anaheim, California",United States,North America,Los Angeles Angels,Baseball,Stadium
Mangueirão,"45,007",Belém,Brazil,South America,"Paysandu Sport Club*, Clube do Remo*",Association football,Stadium
Egyptian Army Stadium,"45,000",Suez,Egypt,Africa,Petrojet,Association football,Stadium
24 February 1956 Stadium,"45,000",Sidi Bel Abbès,Algeria,Africa,USM Bel Abbès,Association football,Stadium
Estádio Olímpico Monumental,"45,000",Porto Alegre,Brazil,South America,,Association football,Stadium
Gelora Bung Tomo Stadium,"45,000",Surabaya,Indonesia,Southeast Asia,Persebaya Surabaya,"Association football, athletics",Stadium
Ashgabat Olympic Stadium,"45,000",Ashgabat,Turkmenistan,Central Asia,Turkmenistan national football team,Association football,Stadium
Harapan Bangsa Stadium,"45,000",Banda Aceh,Indonesia,Southeast Asia,Persiraja Banda Aceh,Association football,Stadium
National Hockey Stadium,"45,000",Lahore,Pakistan,South Asia,Pakistan national field hockey team,Field hockey,Stadium
Estadio General Pablo Rojas,"45,000",Asunción,Paraguay,South America,Cerro Porteño,Association football,Stadium
Barabati Stadium,"45,000",Cuttack,India,South Asia,Odisha Cricket Association,Cricket,Stadium
Qingdao Conson Stadium,"45,000",Qingdao,China,East Asia,,Association football,Stadium
Morenão,"45,000",Campo Grande,Brazil,South America,Federal University of Mato Grosso do Sul,Association football,Stadium
Fez Stadium,"45,000",Fes,Morocco,Africa,Maghreb de Fès,Association football,Stadium
Free State Stadium,"45,000",Bloemfontein,South Africa,Africa,"Free State Cheetahs, Cheetahs, Bloemfontein Celtic",Rugby union,Stadium
Rostov Arena,"45,000",Rostov-on-Don,Russia,Europe,FC Rostov,Association football,Stadium
Citi Field,"45,000",New York City,United States,North America,New York Mets,Baseball,Stadium
Yantai Sports Park Stadium,"45,000","Yantai, Shandong",China,East Asia,local football teams,Association football,Stadium
Panathenaic Stadium,"45,000",Athens,Greece,Europe,,Athletics,Stadium
Stade Omar Bongo,"45,000",Libreville,Gabon,Africa,FC 105 Libreville,Association football,Stadium
National Stadium,"45,000",Lagos,Nigeria,Africa,Nigeria national football team*,Association football,Stadium
Zibo Sports Center Stadium,"45,000","Zibo, Shandong",China,East Asia,local football teams,Association football,Stadium
Weifang Sports Center Stadium,"45,000","Weifang, Shandong",China,East Asia,local football teams,Association football,Stadium
Orlando Stadium,"45,000",Johannesburg,South Africa,Africa,"Orlando Pirates, Moroka Swallows",Association football,Stadium
Latakia Sports City Stadium,"45,000",Latakia,Syria,Western Asia,,Association football,Stadium
Solidarnost Samara Arena,"44,918",Samara,Russia,Europe,PFC Krylia Sovetov Samara,Association football,Stadium
Nizhny Novgorod Stadium,"44,899",Nizhny Novgorod,Russia,Europe,Pari NN,Association football,Stadium
Alumni Stadium,"44,500",Boston(postal address Chestnut Hill),United States,North America,Boston College Eagles football,American football,Stadium
Acrisure Bounce House,"44,206","Orange County, Florida(postal address Orlando)",United States,North America,UCF Knights football,American football,Stadium
Albertão,"44,200",Teresina,Brazil,South America,Esporte Clube Flamengo*,Association football,Stadium
Gwangju World Cup Stadium,"44,118",Gwangju,South Korea,East Asia,Gwangju FC,Association football,Stadium
Ulsan Munsu Football Stadium,"44,102",Ulsan,South Korea,East Asia,Ulsan HD,Association football,Stadium
Gaelic Grounds,"44,032",Limerick,Ireland,Europe,Limerick GAA,"Hurling, Gaelic football",Stadium
Amon G. Carter Stadium,"44,008","Fort Worth, Texas",United States,North America,TCU Horned Frogs football,American football,Stadium
Levy Mwanawasa Stadium,"44,000",Ndola,Zambia,Africa,Zambia national football team,Association football,Stadium
Suwon World Cup Stadium,"43,959",Suwon,South Korea,East Asia,Suwon Samsung Bluewings,Association football,Stadium
Riau Main Stadium,"43,923",Pekanbaru,Indonesia,Southeast Asia,PSPS Riau,Association football,Stadium
Shandong Provincial Stadium,"43,700","Jinan, Shandong",China,East Asia,local football teams,Association football,Stadium
Citizens Bank Park,"43,500",Philadelphia,United States,North America,Philadelphia Phillies,Baseball,Stadium
Mbombela Stadium,"43,500",Nelspruit,South Africa,Africa,,Association football,Stadium
Estadio Pedro Bidegain,"43,494",Buenos Aires,Argentina,South America,Club Atlético San Lorenzo de Almagro,Association football,Stadium
Jeonju World Cup Stadium,"43,348",Jeonju,South Korea,East Asia,Jeonbuk Hyundai Motors,Association football,Stadium
Progressive Field,"43,345","Cleveland, Ohio",United States,North America,Cleveland Guardians,Baseball,Stadium
Poznań Municipal Stadium,"43,269",Poznań,Poland,Europe,Lech Poznań,Association football,Stadium
Reser Stadium,"43,154","Corvallis, Oregon",United States,North America,Oregon State Beavers football,American football,Stadium
Stadio Artemio Franchi,"43,147",Florence, Italy,Europe,ACF Fiorentina,Association football,Stadium
Saifai International Cricket Stadium,"43,000",Saifai,India,South Asia,Uttar Pradesh cricket team,Cricket,Stadium
Estadio Universidad San Marcos,"43,000",Lima,Peru,South America,,Association football,Stadium
Fitzgerald Stadium (Staidiam Mhic Gearailt),"43,000",Killarney,Ireland,Europe,Kerry GAA,"Gaelic football, hurling",Stadium
Ullevi,"43,000",Gothenburg,Sweden,Europe,,"Association football, athletics",Stadium
Sapporo Dome,"42,831",Sapporo,Japan,East Asia,"Consadole Sapporo, Hokkaido Nippon-Ham Fighters","Association football, baseball",Stadium
Villa Park,"42,788",Birmingham,United Kingdom,Europe,Aston Villa F.C.,Association football,Stadium
Zhuzhou Stadium,"42,740","Zhuzhou, Hunan",China,East Asia,local football teams,Association football,Stadium
Estadio Cuauhtémoc,"42,648",Puebla,Mexico,North America,Puebla F.C.,Association football,Stadium
Red Bull Arena,"42,558",Leipzig,Germany,Europe,RB Leipzig,Association football,Stadium
Estadio Metropolitano de Mérida,"42,500",Mérida,Venezuela,South America,Estudiantes de Mérida,Association football,Stadium
Perak Stadium,"42,500",Ipoh,Malaysia,Southeast Asia,Perak FA,Association football,Stadium
Ahmadou Ahidjo Stadium,"42,500",Yaoundé,Cameroon,Africa,"Canon Yaoundé, Tonnerre Yaoundé, Louves Minproff",Association football,Stadium
Estadio Defensores del Chaco,"42,354",Asunción,Paraguay,South America,Paraguay national football team,Association football,Stadium
Denka Big Swan Stadium,"42,300",Niigata,Japan,East Asia,Albirex Niigata,Association football,Stadium
American Family Field,"42,200",Milwaukee,United States,North America,Milwaukee Brewers,Baseball,Stadium
Estadio Hernando Siles,"42,148",La Paz,Bolivia,South America,"Bolivia national football team, La Paz F.C., Club Bolívar*, The Strongest*",Association football,Stadium
Nouveau Stade de Bordeaux,"42,115",Bordeaux,France,Europe,"FC Girondins de Bordeaux, Union Bordeaux Bègles*","Association football, rugby union",Stadium
Weserstadion,"42,100",Bremen,Germany,Europe,Werder Bremen,Association football,Stadium
Great American Ball Park,"42,059",Cincinnati,United States,North America,Cincinnati Reds,Baseball,Stadium
Estádio do Zimpeto,"42,055",Maputo,Mozambique,Africa,,"Association football, athletics",Stadium
The Gabba,"42,000",Brisbane,Australia,Oceania,"Australia national cricket team*, Queensland Bulls, Brisbane Heat, Brisbane Lions","Cricket, Australian rules football",Stadium
McHale Park (Páirc Mhic Éil),"42,000",Castlebar,Ireland,Europe,Mayo GAA,"Gaelic football, hurling",Stadium
