venue_name,city,country,venue_type,address,latitude,longitude,google_maps_url,capacity_min,capacity_max,event_types,past_events,upcoming_events,booking_available,booking_url,venue_operator,partnership_required,notes,sources
Akita Sports Plus ASP Stadium,,Japan,stadium,,,,https://www.google.com/maps/search/?api=1&query=Akita+Sports+Plus+ASP+Stadium%2C+Japan,4992,4992,"[""concerts"",""sports""]",[],[],true,http://www.city.akita.akita.jp/city/ed/sp/sibahukyuugijou.htm,,,,"[""https://en.wikipedia.org/wiki/Akita_Sports_Plus_ASP_Stadium"",""https://www.wikidata.org/wiki/Q11595308"",""https://www.wikidata.org/wiki/Q11595308#P1083"",""https://nominatim.openstreetmap.org/search?format=jsonv2&q=Akita+Sports+Plus+ASP+Stadium%2C+Japan&limit=1&addressdetails=1"",""https://www.wikidata.org/wiki/Q11595308#P856"",""https://www.eventbrite.com/d/japan/Akita+Sports+Plus+ASP+Stadium++Japan"",""https://www.ticketmaster.com/search?q=Akita+Sports+Plus+ASP+Stadium++Japan""]"
All Gainare Yajin Stadium,,Japan,stadium,,,,https://www.google.com/maps/search/?api=1&query=All+Gainare+Yajin+Stadium%2C+Japan,7390,7390,"[""concerts"",""sports""]",[],[],true,http://www.yajin.jp/,,,,"[""https://en.wikipedia.org/wiki/All_Gainare_Yajin_Stadium"",""https://www.wikidata.org/wiki/Q11318350"",""https://www.wikidata.org/wiki/Q11318350#P1083"",""https://nominatim.openstreetmap.org/search?format=jsonv2&q=All+Gainare+Yajin+Stadium%2C+Japan&limit=1&addressdetails=1"",""https://www.wikidata.org/wiki/Q11318350#P856"",""https://www.eventbrite.com/d/japan/All+Gainare+Yajin+Stadium++Japan"",""https://www.ticketmaster.com/search?q=All+Gainare+Yajin+Stadium++Japan""]"
Ashikaga Athletic Stadium,,Japan,stadium,,,,https://www.google.com/maps/search/?api=1&query=Ashikaga+Athletic+Stadium%2C+Japan,7500,7500,"[""concerts"",""sports""]",[],[],true,http://undoujou.ashikaga-mbs.or.jp/index.php/rikuzyo,,,,"[""https://en.wikipedia.org/wiki/Ashikaga_Athletic_Stadium"",""https://www.wikidata.org/wiki/Q11636776"",""https://www.wikidata.org/wiki/Q11636776#P1083"",""https://nominatim.openstreetmap.org/search?format=jsonv2&q=Ashikaga+Athletic+Stadium%2C+Japan&limit=1&addressdetails=1"",""https://www.wikidata.org/wiki/Q11636776#P856"",""https://www.eventbrite.com/d/japan/Ashikaga+Athletic+Stadium++Japan"",""https://www.ticketmaster.com/search?q=Ashikaga+Athletic+Stadium++Japan""]"
Belgrade Arena,,Japan,arena,,,,https://www.google.com/maps/search/?api=1&query=Belgrade+Arena%2C+Japan,20000,20000,"[""concerts"",""esports"",""sports""]",[],[],true,https://starkarena.co.rs/,,,,"[""https://en.wikipedia.org/wiki/Belgrade_Arena"",""https://www.wikidata.org/wiki/Q33277"",""https://www.wikidata.org/wiki/Q33277#P1083"",""https://nominatim.openstreetmap.org/search?format=jsonv2&q=Belgrade+Arena%2C+Japan&limit=1&addressdetails=1"",""https://www.wikidata.org/wiki/Q33277#P856"",""https://www.eventbrite.com/d/japan/Belgrade+Arena++Japan"",""https://www.ticketmaster.com/search?q=Belgrade+Arena++Japan""]"
Bingo Stadium,,Japan,stadium,,,,https://www.google.com/maps/search/?api=1&query=Bingo+Stadium%2C+Japan,9245,9245,"[""concerts"",""sports""]",[],[],true,http://www.bingo-undoukouen.jp/,,,,"[""https://en.wikipedia.org/wiki/Bingo_Stadium"",""https://www.wikidata.org/wiki/Q4914312"",""https://www.wikidata.org/wiki/Q4914312#P1083"",""https://nominatim.openstreetmap.org/search?format=jsonv2&q=Bingo+Stadium%2C+Japan&limit=1&addressdetails=1"",""https://www.wikidata.org/wiki/Q4914312#P856"",""https://www.eventbrite.com/d/japan/Bingo+Stadium++Japan"",""https://www.ticketmaster.com/search?q=Bingo+Stadium++Japan""]"
Chiyogadai Park Athletic Studium,,Japan,stadium,,,,https://www.google.com/maps/search/?api=1&query=Chiyogadai+Park+Athletic+Studium%2C+Japan,15000,15000,"[""concerts"",""sports""]",[],[],true,http://www.zaidan-hakodate.com/okugai/rikujou/,,,,"[""https://en.wikipedia.org/wiki/Chiyogadai_Park_Athletic_Studium"",""https://www.wikidata.org/wiki/Q5640572"",""https://www.wikidata.org/wiki/Q5640572#P1083"",""https://nominatim.openstreetmap.org/search?format=jsonv2&q=Chiyogadai+Park+Athletic+Studium%2C+Japan&limit=1&addressdetails=1"",""https://www.wikidata.org/wiki/Q5640572#P856"",""https://www.eventbrite.com/d/japan/Chiyogadai+Park+Athletic+Studium++Japan"",""https://www.ticketmaster.com/search?q=Chiyogadai+Park+Athletic+Studium++Japan""]"
CNA Arena Akita,秋田市,Japan,arena,"CNAアリーナ★あきた (秋田市立体育館), 臨海バイパス, 八橋, 八橋字下八橋, 秋田市, 秋田県, 011-0905, 日本",39.7257847,140.0877077,"https://www.google.com/maps?q=39.7257847,140.0877077",,,"[""concerts"",""esports"",""sports""]",[],[],,,,,,"[""https://en.wikipedia.org/wiki/CNA_Arena_Akita"",""https://www.wikidata.org/wiki/Q11595320"",""https://nominatim.openstreetmap.org/search?format=jsonv2&q=CNA+Arena+Akita%2C+Japan&limit=1&addressdetails=1"",""https://www.eventbrite.com/d/japan/CNA+Arena+Akita+%E7%A7%8B%E7%94%B0%E5%B8%82+Japan"",""https://www.ticketmaster.com/search?q=CNA+Arena+Akita+%E7%A7%8B%E7%94%B0%E5%B8%82+Japan""]"
Coventry Building Society Arena,,Japan,stadium,,,,https://www.google.com/maps/search/?api=1&query=Coventry+Building+Society+Arena%2C+Japan,32609,32609,"[""concerts"",""sports""]",[],[],true,http://www.ricoharena.com/,,,,"[""https://en.wikipedia.org/wiki/Coventry_Building_Society_Arena"",""https://www.wikidata.org/wiki/Q842077"",""https://www.wikidata.org/wiki/Q842077#P1083"",""https://nominatim.openstreetmap.org/search?format=jsonv2&q=Coventry+Building+Society+Arena%2C+Japan&limit=1&addressdetails=1"",""https://www.wikidata.org/wiki/Q842077#P856"",""https://www.eventbrite.com/d/japan/Coventry+Building+Society+Arena++Japan"",""https://www.ticketmaster.com/search?q=Coventry+Building+Society+Arena++Japan""]"
Falmer Stadium,,Japan,stadium,,,,https://www.google.com/maps/search/?api=1&query=Falmer+Stadium%2C+Japan,31800,31800,"[""concerts"",""sports""]",[],[],true,http://www.amexstadium.co.uk/,,,,"[""https://en.wikipedia.org/wiki/Falmer_Stadium"",""https://www.wikidata.org/wiki/Q619409"",""https://www.wikidata.org/wiki/Q619409#P1083"",""https://nominatim.openstreetmap.org/search?format=jsonv2&q=Falmer+Stadium%2C+Japan&limit=1&addressdetails=1"",""https://www.wikidata.org/wiki/Q619409#P856"",""https://www.eventbrite.com/d/japan/Falmer+Stadium++Japan"",""https://www.ticketmaster.com/search?q=Falmer+Stadium++Japan""]"
"Festival Hall, Osaka",大阪市,Japan,,"フェスティバルホール, 18, 中之島二丁目, 北区, 大阪市, 大阪府, 530-0005, 日本",34.6933441,135.4965478,"https://www.google.com/maps?q=34.6933441,135.4965478",,,[],[],[],true,http://www.festivalhall.jp/english/,,,,"[""https://en.wikipedia.org/wiki/Festival_Hall,_Osaka"",""https://www.wikidata.org/wiki/Q5445711"",""https://nominatim.openstreetmap.org/search?format=jsonv2&q=Festival+Hall%2C+Osaka%2C+Japan&limit=1&addressdetails=1"",""https://www.wikidata.org/wiki/Q5445711#P856"",""https://www.eventbrite.com/d/japan/Festival+Hall%2C+Osaka+%E5%A4%A7%E9%98%AA%E5%B8%82+Japan"",""https://www.ticketmaster.com/search?q=Festival+Hall%2C+Osaka+%E5%A4%A7%E9%98%AA%E5%B8%82+Japan""]"
