venue_name,city,country,venue_type,address,latitude,longitude,google_maps_url,capacity_min,capacity_max,event_types,past_events,upcoming_events,booking_available,booking_url,venue_operator,partnership_required,notes,sources
Madras Music Academy,Chennai Corporation,India,,"Madras Cocktail Company, Music Academy Flyover, CMWSSB Division 118, Ward 118, Zone 9 Teynampet, Chennai Corporation, Chennai, Tamil Nadu, 600086, India",13.0460012,80.2578388,"https://www.google.com/maps?q=13.0460012,80.2578388",,,[],[],[],,,,,,"[""https://en.wikipedia.org/wiki/Madras_Music_Academy"",""https://www.wikidata.org/wiki/Q10981461"",""https://www.bcci.tv/"",""https://www.indiansuperleague.com/"",""https://www.prokabaddi.com/"",""https://nominatim.openstreetmap.org/search?format=jsonv2&q=Madras+Music+Academy%2C+India&limit=1&addressdetails=1"",""https://www.eventbrite.com/d/india/Madras+Music+Academy+Chennai+Corporation+India"",""https://www.ticketmaster.com/search?q=Madras+Music+Academy+Chennai+Corporation+India"",""https://in.bookmyshow.com/explore/events-Chennai Corporation?search=Madras Music Academy"",""https://insider.in/search?q=Madras Music Academy""]"
Motera,Asarva Taluka,India,,"Narendra Modi Stadium, Motera Stadium Entry Road, Sabarmati, Asarva Taluka, Ahmedabad, Gujarat, 380005, India",23.0917717,72.5973345,"https://www.google.com/maps?q=23.0917717,72.5973345",,,[],[],[],,,,,,"[""https://en.wikipedia.org/wiki/Motera"",""https://www.wikidata.org/wiki/Q2738390"",""https://www.bcci.tv/"",""https://www.indiansuperleague.com/"",""https://www.prokabaddi.com/"",""https://nominatim.openstreetmap.org/search?format=jsonv2&q=Motera%2C+India&limit=1&addressdetails=1"",""https://www.eventbrite.com/d/india/Motera+Asarva+Taluka+India"",""https://www.ticketmaster.com/search?q=Motera+Asarva+Taluka+India"",""https://in.bookmyshow.com/explore/events-Asarva Taluka?search=Motera"",""https://insider.in/search?q=Motera""]"
Mumbai Football Arena,Mumbai,India,,"Mumbai Football Arena, Jai Prakash Road, Azad Nagar, Dadabhai Naoroji Nagar, K/W Ward, Mumbai Zone 3, Mumbai, Mumbai Suburban District, Maharashtra, 400058, India",19.1291522,72.8354044,"https://www.google.com/maps?q=19.1291522,72.8354044",,,[],[],[],,,,,,"[""https://en.wikipedia.org/wiki/Mumbai_Football_Arena"",""https://www.wikidata.org/wiki/Q28154049"",""https://www.bcci.tv/"",""https://www.indiansuperleague.com/"",""https://www.prokabaddi.com/"",""https://nominatim.openstreetmap.org/search?format=jsonv2&q=Mumbai+Football+Arena%2C+India&limit=1&addressdetails=1"",""https://www.eventbrite.com/d/india/Mumbai+Football+Arena+Mumbai+India"",""https://www.ticketmaster.com/search?q=Mumbai+Football+Arena+Mumbai+India"",""https://in.bookmyshow.com/explore/events-Mumbai?search=Mumbai Football Arena"",""https://insider.in/search?q=Mumbai Football Arena""]"
National Sports Club of India,Mumbai City District,India,,"National Sports Club of India, Seth Motilal G Sanghi Road, Mariammar Nagar, Mahalakshmi, G/S Ward, Mumbai Zone 2, Mumbai City District, Maharashtra, 400018, India",18.985961,72.8154749,"https://www.google.com/maps?q=18.985961,72.8154749",,,[],[],[],,,,,,"[""https://en.wikipedia.org/wiki/National_Sports_Club_of_India"",""https://www.wikidata.org/wiki/Q6978646"",""https://www.bcci.tv/"",""https://www.indiansuperleague.com/"",""https://www.prokabaddi.com/"",""https://nominatim.openstreetmap.org/search?format=jsonv2&q=National+Sports+Club+of+India%2C+India&limit=1&addressdetails=1"",""https://www.eventbrite.com/d/india/National+Sports+Club+of+India+Mumbai+City+District+India"",""https://www.ticketmaster.com/search?q=National+Sports+Club+of+India+Mumbai+City+District+India"",""https://in.bookmyshow.com/explore/events-Mumbai City District?search=National Sports Club of India"",""https://insider.in/search?q=National Sports Club of India""]"
"National Stadium, Dhaka",,India,stadium,,,,https://www.google.com/maps/search/?api=1&query=National+Stadium%2C+Dhaka%2C+India,36000,36000,"[""concerts"",""sports""]",[],[],,,,,,"[""https://en.wikipedia.org/wiki/National_Stadium,_Dhaka"",""https://www.wikidata.org/wiki/Q806456"",""https://www.bcci.tv/"",""https://www.indiansuperleague.com/"",""https://www.prokabaddi.com/"",""https://www.wikidata.org/wiki/Q806456#P1083"",""https://nominatim.openstreetmap.org/search?format=jsonv2&q=National+Stadium%2C+Dhaka%2C+India&limit=1&addressdetails=1"",""https://www.eventbrite.com/d/india/National+Stadium%2C+Dhaka++India"",""https://www.ticketmaster.com/search?q=National+Stadium%2C+Dhaka++India"",""https://in.bookmyshow.com/explore/events-?search=National Stadium, Dhaka"",""https://insider.in/search?q=National Stadium, Dhaka""]"
"National Stadium, Karachi",,India,stadium,,,,https://www.google.com/maps/search/?api=1&query=National+Stadium%2C+Karachi%2C+India,,,"[""concerts"",""sports""]",[],[],true,http://content-usa.cricinfo.com/pakistan/content/ground/58956.html,,,,"[""https://en.wikipedia.org/wiki/National_Stadium,_Karachi"",""https://www.wikidata.org/wiki/Q3007369"",""https://www.bcci.tv/"",""https://www.indiansuperleague.com/"",""https://www.prokabaddi.com/"",""https://nominatim.openstreetmap.org/search?format=jsonv2&q=National+Stadium%2C+Karachi%2C+India&limit=1&addressdetails=1"",""https://www.wikidata.org/wiki/Q3007369#P856"",""https://www.eventbrite.com/d/india/National+Stadium%2C+Karachi++India"",""https://www.ticketmaster.com/search?q=National+Stadium%2C+Karachi++India"",""https://in.bookmyshow.com/explore/events-?search=National Stadium, Karachi"",""https://insider.in/search?q=National Stadium, Karachi""]"
"Northern Railway Cricket Ground, Jodhpur",,India,,,,,https://www.google.com/maps/search/?api=1&query=Northern+Railway+Cricket+Ground%2C+Jodhpur%2C+India,5000,5000,[],[],[],true,http://www.espncricinfo.com/india/content/ground/58188.html,,,,"[""https://en.wikipedia.org/wiki/Northern_Railway_Cricket_Ground,_Jodhpur"",""https://www.wikidata.org/wiki/Q24748002"",""https://www.bcci.tv/"",""https://www.indiansuperleague.com/"",""https://www.prokabaddi.com/"",""https://www.wikidata.org/wiki/Q24748002#P1083"",""https://nominatim.openstreetmap.org/search?format=jsonv2&q=Northern+Railway+Cricket+Ground%2C+Jodhpur%2C+India&limit=1&addressdetails=1"",""https://www.wikidata.org/wiki/Q24748002#P856"",""https://www.eventbrite.com/d/india/Northern+Railway+Cricket+Ground%2C+Jodhpur++India"",""https://www.ticketmaster.com/search?q=Northern+Railway+Cricket+Ground%2C+Jodhpur++India"",""https://in.bookmyshow.com/explore/events-?search=Northern Railway Cricket Ground, Jodhpur"",""https://insider.in/search?q=Northern Railway Cricket Ground, Jodhpur""]"
People's Football Stadium,,India,stadium,,,,https://www.google.com/maps/search/?api=1&query=People%27s+Football+Stadium%2C+India,40000,40000,"[""concerts"",""sports""]",[],[],,,,,,"[""https://en.wikipedia.org/wiki/People's_Football_Stadium"",""https://www.wikidata.org/wiki/Q7166062"",""https://www.bcci.tv/"",""https://www.indiansuperleague.com/"",""https://www.prokabaddi.com/"",""https://www.wikidata.org/wiki/Q7166062#P1083"",""https://nominatim.openstreetmap.org/search?format=jsonv2&q=People%27s+Football+Stadium%2C+India&limit=1&addressdetails=1"",""https://www.eventbrite.com/d/india/People%27s+Football+Stadium++India"",""https://www.ticketmaster.com/search?q=People%27s+Football+Stadium++India"",""https://in.bookmyshow.com/explore/events-?search=People's Football Stadium"",""https://insider.in/search?q=People's Football Stadium""]"
Punjab Agricultural University Stadium,,India,stadium,,,,https://www.google.com/maps/search/?api=1&query=Punjab+Agricultural+University+Stadium%2C+India,10000,10000,"[""concerts"",""sports""]",[],[],,,,,,"[""https://en.wikipedia.org/wiki/Punjab_Agricultural_University_Stadium"",""https://www.wikidata.org/wiki/Q24747913"",""https://www.bcci.tv/"",""https://www.indiansuperleague.com/"",""https://www.prokabaddi.com/"",""https://www.wikidata.org/wiki/Q24747913#P1083"",""https://nominatim.openstreetmap.org/search?format=jsonv2&q=Punjab+Agricultural+University+Stadium%2C+India&limit=1&addressdetails=1"",""https://www.eventbrite.com/d/india/Punjab+Agricultural+University+Stadium++India"",""https://www.ticketmaster.com/search?q=Punjab+Agricultural+University+Stadium++India"",""https://in.bookmyshow.com/explore/events-?search=Punjab Agricultural University Stadium"",""https://insider.in/search?q=Punjab Agricultural University Stadium""]"
R. Premadasa Stadium,,India,stadium,,,,https://www.google.com/maps/search/?api=1&query=R.+Premadasa+Stadium%2C+India,35000,35000,"[""concerts"",""sports""]",[],[],,,,,,"[""https://en.wikipedia.org/wiki/R._Premadasa_Stadium"",""https://www.wikidata.org/wiki/Q2121558"",""https://www.bcci.tv/"",""https://www.indiansuperleague.com/"",""https://www.prokabaddi.com/"",""https://www.wikidata.org/wiki/Q2121558#P1083"",""https://nominatim.openstreetmap.org/search?format=jsonv2&q=R.+Premadasa+Stadium%2C+India&limit=1&addressdetails=1"",""https://www.eventbrite.com/d/india/R.+Premadasa+Stadium++India"",""https://www.ticketmaster.com/search?q=R.+Premadasa+Stadium++India"",""https://in.bookmyshow.com/explore/events-?search=R. Premadasa Stadium"",""https://insider.in/search?q=R. Premadasa Stadium""]"
